,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.6311333333333333,0.9245,0.12055185437202454,0.25485190749168396,1,7.887937784194946,64,0.01
1,LeNet5,0.9407333333333333,0.9636,0.03466831147670746,0.122177354991436,2,8.019005298614502,64,0.01
2,LeNet5,0.9639,0.9729,0.022027604281902313,0.08723796904087067,3,8.025927305221558,64,0.01
3,LeNet5,0.9725833333333334,0.9766,0.061100494116544724,0.07300905883312225,4,8.149367094039917,64,0.01
4,LeNet5,0.97625,0.9788,0.08865098655223846,0.06832700967788696,5,7.971118688583374,64,0.01
5,LeNet5,0.9794833333333334,0.9821,0.016963759437203407,0.055283110588788986,6,8.04724407196045,64,0.01
6,LeNet5,0.982,0.9736,0.30366694927215576,0.08000252395868301,7,7.958501577377319,64,0.01
7,LeNet5,0.9836166666666667,0.9838,0.08963097631931305,0.050485607236623764,8,7.966781854629517,64,0.01
8,LeNet5,0.9851,0.9825,0.24951772391796112,0.049424052238464355,9,7.872848749160767,64,0.01
9,LeNet5,0.9863166666666666,0.9863,0.01731949672102928,0.041705936193466187,10,7.929936408996582,64,0.01
10,LeNet5,0.9868166666666667,0.9865,0.008409729227423668,0.04136037454009056,11,8.030885934829712,64,0.01
11,LeNet5,0.9882,0.988,0.003771433373913169,0.036816906183958054,12,7.969798803329468,64,0.01
12,LeNet5,0.9892,0.9879,0.0290303286164999,0.03895058110356331,13,7.894805431365967,64,0.01
13,LeNet5,0.9899333333333333,0.9873,0.004783835727721453,0.036185719072818756,14,7.898826360702515,64,0.01
14,LeNet5,0.9903833333333333,0.9882,0.0016516768373548985,0.03502481430768967,15,7.972891092300415,64,0.01
15,LeNet5,0.9906166666666667,0.9862,0.00044872460421174765,0.041623715311288834,16,7.9335410594940186,64,0.01
16,LeNet5,0.9917166666666667,0.987,0.006723715923726559,0.039253119379282,17,7.930989027023315,64,0.01
17,LeNet5,0.9916666666666667,0.9872,0.006230669096112251,0.03948062285780907,18,7.964443683624268,64,0.01
18,LeNet5,0.9924166666666666,0.987,0.001533307833597064,0.03726803511381149,19,8.002349376678467,64,0.01
19,LeNet5,0.99295,0.9901,0.01824991963803768,0.029679883271455765,20,7.957448244094849,64,0.01
20,LeNet5,0.99315,0.9878,0.046030156314373016,0.036659739911556244,21,7.99033260345459,64,0.01
21,LeNet5,0.99375,0.9877,0.0037423749454319477,0.03566008806228638,22,7.956106424331665,64,0.01
22,LeNet5,0.99405,0.9887,0.02794797159731388,0.034491971135139465,23,7.925405740737915,64,0.01
23,LeNet5,0.9941666666666666,0.9898,0.015489091165363789,0.031728144735097885,24,7.947858572006226,64,0.01
24,LeNet5,0.9946666666666667,0.9898,0.021183589473366737,0.030669277533888817,25,8.014988422393799,64,0.01
25,LeNet5,0.9948833333333333,0.9896,0.008271701633930206,0.031551752239465714,26,8.103346824645996,64,0.01
26,LeNet5,0.9952666666666666,0.9901,0.0011461407411843538,0.03375459834933281,27,7.93397855758667,64,0.01
27,LeNet5,0.9957333333333334,0.99,0.008321008644998074,0.03011241741478443,28,8.265611171722412,64,0.01
28,LeNet5,0.9957,0.9874,0.0003676269552670419,0.04070264846086502,29,8.09965181350708,64,0.01
29,LeNet5,0.9958333333333333,0.9899,0.0019610293675214052,0.032164156436920166,30,8.119267463684082,64,0.01
30,LeNet5,0.6193333333333333,0.9168,0.3029577434062958,0.27420124411582947,1,7.3476526737213135,128,0.02
31,LeNet5,0.9401166666666667,0.9583,0.14314867556095123,0.13164359331130981,2,7.441516637802124,128,0.02
32,LeNet5,0.9640333333333333,0.9676,0.12413319200277328,0.09786982089281082,3,7.316771507263184,128,0.02
33,LeNet5,0.97245,0.9768,0.042884934693574905,0.07151716202497482,4,7.2312703132629395,128,0.02
34,LeNet5,0.97705,0.9793,0.09708883613348007,0.0619056411087513,5,7.215693712234497,128,0.02
35,LeNet5,0.9799,0.9729,0.20332373678684235,0.08486130088567734,6,7.2027153968811035,128,0.02
36,LeNet5,0.9823,0.9847,0.07204670459032059,0.047826942056417465,7,7.274485349655151,128,0.02
37,LeNet5,0.9836166666666667,0.9792,0.02962322346866131,0.0613522082567215,8,7.3013458251953125,128,0.02
38,LeNet5,0.9846666666666667,0.9845,0.052820850163698196,0.045148853212594986,9,7.305684804916382,128,0.02
39,LeNet5,0.9865666666666667,0.9843,0.025700414553284645,0.04706373065710068,10,7.2442710399627686,128,0.02
40,LeNet5,0.9877166666666667,0.9855,0.021627230569720268,0.04701194912195206,11,7.262322902679443,128,0.02
41,LeNet5,0.9886833333333334,0.9813,0.15661512315273285,0.06093022972345352,12,7.160135984420776,128,0.02
42,LeNet5,0.9892166666666666,0.9866,0.021154114976525307,0.041409481316804886,13,7.22754693031311,128,0.02
43,LeNet5,0.9899666666666667,0.9864,0.03740093484520912,0.039955493062734604,14,7.166311264038086,128,0.02
44,LeNet5,0.9905,0.9875,0.05248473957180977,0.038654472678899765,15,7.319296598434448,128,0.02
45,LeNet5,0.9911833333333333,0.9881,0.014807184226810932,0.03597457706928253,16,7.304792165756226,128,0.02
