,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr,momentum
0,LeNet5,0.24206666666666668,0.4271,2.247645616531372,2.2441225051879883,1,6.9406726360321045,2048,0.01,0.9
1,LeNet5,0.5770666666666666,0.7881,1.067370891571045,0.9290003776550293,2,7.063354015350342,2048,0.01,0.9
2,LeNet5,0.8358666666666666,0.9018,0.3540538549423218,0.33468562364578247,3,6.879354238510132,2048,0.01,0.9
3,LeNet5,0.9125833333333333,0.9366,0.2624949514865875,0.21601906418800354,4,6.859027624130249,2048,0.01,0.9
4,LeNet5,0.93375,0.9485,0.17745724320411682,0.17692241072654724,5,6.881814956665039,2048,0.01,0.9
5,LeNet5,0.9460666666666666,0.9568,0.15631228685379028,0.1469801813364029,6,7.17138671875,2048,0.01,0.9
6,LeNet5,0.9533666666666667,0.9595,0.12275919318199158,0.1356968730688095,7,6.889620780944824,2048,0.01,0.9
7,LeNet5,0.9588666666666666,0.9649,0.12728577852249146,0.1117105558514595,8,6.8707075119018555,2048,0.01,0.9
8,LeNet5,0.9640666666666666,0.9668,0.13449972867965698,0.1043410375714302,9,6.829660177230835,2048,0.01,0.9
9,LeNet5,0.9664166666666667,0.9731,0.077194444835186,0.09067340940237045,10,6.828001976013184,2048,0.01,0.9
10,LeNet5,0.9694166666666667,0.9748,0.07474549114704132,0.08689340204000473,11,6.985117435455322,2048,0.01,0.9
11,LeNet5,0.9717166666666667,0.9767,0.07778827846050262,0.07958151400089264,12,6.903051853179932,2048,0.01,0.9
12,LeNet5,0.9738,0.9747,0.07800007611513138,0.07756294310092926,13,7.006674766540527,2048,0.01,0.9
13,LeNet5,0.9740833333333333,0.9772,0.08233042806386948,0.07347099483013153,14,6.91099214553833,2048,0.01,0.9
14,LeNet5,0.97605,0.9788,0.09149684011936188,0.07134675234556198,15,7.02774977684021,2048,0.01,0.9
15,LeNet5,0.9776,0.9783,0.05542992427945137,0.0712854340672493,16,6.847707986831665,2048,0.01,0.9
16,LeNet5,0.97705,0.9803,0.08536843955516815,0.06177239865064621,17,6.806475400924683,2048,0.01,0.9
17,LeNet5,0.9788833333333333,0.9803,0.06918781995773315,0.06049163639545441,18,6.840604066848755,2048,0.01,0.9
18,LeNet5,0.9794666666666667,0.9812,0.0699261948466301,0.059982866048812866,19,7.05564022064209,2048,0.01,0.9
19,LeNet5,0.9806,0.9798,0.06658173352479935,0.06127025932073593,20,6.859558343887329,2048,0.01,0.9
20,LeNet5,0.9805666666666667,0.9817,0.05961080640554428,0.05698757246136665,21,7.100284576416016,2048,0.01,0.9
21,LeNet5,0.9823833333333334,0.9829,0.048857323825359344,0.05344047769904137,22,6.87643575668335,2048,0.01,0.9
22,LeNet5,0.9833166666666666,0.9832,0.057702917605638504,0.05219670385122299,23,6.962594270706177,2048,0.01,0.9
23,LeNet5,0.9829666666666667,0.9825,0.04947834089398384,0.05108020827174187,24,6.8409764766693115,2048,0.01,0.9
24,LeNet5,0.9836166666666667,0.9798,0.055061642080545425,0.06117122247815132,25,6.812263011932373,2048,0.01,0.9
25,LeNet5,0.9832,0.9822,0.05016985163092613,0.05428991839289665,26,6.9661476612091064,2048,0.01,0.9
26,LeNet5,0.98325,0.9841,0.032799579203128815,0.04900994151830673,27,6.994357109069824,2048,0.01,0.9
27,LeNet5,0.9860833333333333,0.9836,0.02843485400080681,0.04907386004924774,28,6.964401960372925,2048,0.01,0.9
