,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.9053666666666667,0.98,0.07643596082925797,0.05857451632618904,1,9.100566864013672,64,0.01
1,LeNet5,0.9800166666666666,0.9852,0.006950346287339926,0.04780382290482521,2,8.892834424972534,64,0.01
2,LeNet5,0.9858,0.9894,0.12242113053798676,0.0321364589035511,3,9.189221858978271,64,0.01
3,LeNet5,0.9881333333333333,0.9891,0.016338111832737923,0.03619369491934776,4,8.957277774810791,64,0.01
4,LeNet5,0.9904666666666667,0.9907,0.1358952671289444,0.030978985130786896,5,9.021990060806274,64,0.01
5,LeNet5,0.9918166666666667,0.9918,0.03267580270767212,0.02747325785458088,6,9.195575952529907,64,0.01
6,LeNet5,0.9935333333333334,0.9902,0.00425317557528615,0.03136201202869415,7,8.967575073242188,64,0.01
7,LeNet5,0.9949,0.9845,0.02768927626311779,0.04766013100743294,8,9.316339015960693,64,0.01
8,LeNet5,0.9952833333333333,0.9902,0.016244499012827873,0.03273886814713478,9,9.286447763442993,64,0.01
9,LeNet5,0.9956833333333334,0.9888,0.0026219277642667294,0.03405296429991722,10,9.043801307678223,64,0.01
10,LeNet5,0.9963333333333333,0.9909,0.00476357527077198,0.031988922506570816,11,9.006867170333862,64,0.01
11,LeNet5,0.9965333333333334,0.9889,0.07337497174739838,0.04156742990016937,12,9.176750421524048,64,0.01
12,LeNet5,0.9973666666666666,0.9905,0.0005048094317317009,0.033958546817302704,13,9.211968898773193,64,0.01
13,LeNet5,0.9982666666666666,0.991,0.0002576046099420637,0.02909075655043125,14,9.208929777145386,64,0.01
14,LeNet5,0.99735,0.9903,0.00014606404874939471,0.03667464479804039,15,8.900622367858887,64,0.01
15,LeNet5,0.9984333333333333,0.9883,0.0025144806131720543,0.04472935199737549,16,9.097311973571777,64,0.01
16,LeNet5,0.99735,0.9917,0.0469057597219944,0.03281484916806221,17,8.960078239440918,64,0.01
17,LeNet5,0.9979833333333333,0.9875,9.319905075244606e-06,0.05053262040019035,18,8.97655987739563,64,0.01
18,LeNet5,0.99755,0.9904,0.000544057518709451,0.04014561325311661,19,9.07575273513794,64,0.01
19,LeNet5,0.9986833333333334,0.991,0.0007725646137259901,0.03826388716697693,20,9.007951736450195,64,0.01
20,LeNet5,0.9991833333333333,0.9913,4.7915702452883124e-05,0.0379968136548996,21,9.136422157287598,64,0.01
21,LeNet5,0.9991833333333333,0.9915,2.6864468964049593e-05,0.03468259051442146,22,9.128075122833252,64,0.01
22,LeNet5,0.9979166666666667,0.9893,0.0004776214773301035,0.04304641857743263,23,9.029915571212769,64,0.01
23,LeNet5,0.9985166666666667,0.9903,0.0005579635035246611,0.046579357236623764,24,8.969307899475098,64,0.01
24,LeNet5,0.99855,0.9894,0.040094345808029175,0.04485113546252251,25,9.070608615875244,64,0.01
25,LeNet5,0.9993,0.9887,0.00014820591604802758,0.05265948548913002,26,9.221590995788574,64,0.01
26,LeNet5,0.9990166666666667,0.9913,0.000563203589990735,0.04197695851325989,27,9.165165185928345,64,0.01
